                         Climax, Colorado Cosmic Ray Monthly Means
     Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec  Mean
     1953  4163  4193  4183  4187  4190  4200  4196  4205  4209  4213  4220  4226  4199
     1954  4225  4246  4286  4269  4280  4277  4285  4317  4308  4306  4286  4269  4279
     1955  4200  4267  4272  4273  4287  4278  4279  4264  4286  4244  4252  4193  4258
     1956  4234  4160  4097  4097  4049  4045  4088  4083  4044  4135  3980  3799  4068
     1957  3677  3660  3695  3585  3640  3603  3557  3606  3458  3509  3484  3410  3574
     1958  3434  3485  3401  3396  3490  3560  3467  3537  3561  3564  3589  3542  3502
     1959  3573  3526  3606  3664  3567  3633  3369  3420  3484  3597  3615  3587  3553

     1960  3516  3573  3631  3531  3534  3589  3587  3670  3671  3682  3586  3681  3604
     1961  3762  3801  3818  3800  3843  3838  3675  3784  3834  3870  3955  3949  3827
     1962  3977  3922  3931  3878  3927  3941  3950  3953  3924  3919  3963  3971  3938
     1963  4049  4074  4065  4077  4034  4075  4072  4060  4023  4066  4094  4112  4067
     1964  4145  4139  4168  4181  4198  4208  4202  4213  4232  4240  4254  4307  4207
     1965  4295  4290  4314  4335  4340  4288  4247  4246  4268  4271  4294  4300  4291
     1966  4258  4262  4211  4180  4207  4146  4108  4112  3956  4055  4091  4053  4137
     1967  3991  3960  4014  4025  3974  3960  3985  3940  3956  3980  3922  3933  3970
     1968  3946  3925  3909  3932  3895  3830  3830  3853  3817  3761  3652  3685  3836
     1969  3801  3831  3798  3783  3656  3610  3652  3730  3781  3803  3798  3807  3754

     1970  3792  3824  3781  3765  3765  3679  3684  3755  3832  3862  3786  3895  3785
     1971  3898  3976  3981  4003  4032  4124  4117  4145  4149  4193  4181  4192  4083
     1972  4163  4158  4211  4239  4215  4141  4207  4005  4198  4214  4198  4198  4179
     1973  4201  4193  4173  4075  3997  4119  4151  4180  4235  4240  4255  4253  4172
     1974  4262  4283  4238  4207  4121  4077  4009  4083  4064  4064  4058  4131  4133
     1975  4146  4206  4210  4239  4245  4271  4262  4231  4243  4231  4218  4214  4226
     1976  4216  4223  4236  4188  4218  4244  4254  4253  4283  4287  4285  4280  4247
     1977  4268  4272  4274  4267  4272  4231  4175  4194  4197  4245  4284  4260  4245
     1978  4213  4198  4173  4107  3977  4058  4068  4183  4180  4085  4139  4128  4126
     1979  4071  4035  3983  3888  3921  3815  3808  3710  3745  3829  3829  3905  3878

     1980  3874  3842  3900  3820  3817  3697  3692  3719  3750  3687  3604  3604  3750
     1981  3744  3663  3656  3601  3558  3683  3703  3702  3687  3570  3581  3682  3652
     1982  3735  3590  3732  3773  3814  3606  3421  3415  3324  3402  3441  3372  3552
     1983  3508  3600  3699  3708  3570  3656  3744  3752  3799  3814  3850  3834  3711
     1984  3868  3850  3784  3760  3633  3727  3767  3818  3844  3851  3825  3844  3798
     1985  3872  3937  3954  3948  3977  4039  4018  4026  4089  4090  4124  4091  4014
     1986  4079  3988  4049  4148  4181  4191  4192  4193  4226  4229  4171  4226  4156
     1987  4279  4324  4325  4294  4271  4203  4165  4120  4073  4089  4031  4035  4184
     1988  3923  3949  3976  3948  3957  3934  3859  3852  3876  3846  3840  3752  3893
     1989  3686  3673  3458  3485  3405  3437  3551  3494  3382  3311  3252  3309  3454

     1990  3392  3434  3383  3278  3236  3244  3366  3337  3409  3497  3564  3577  3393
     1991  3675  3680  3409  3428  3452  3005  3026  3253  3440  3508  3527  3585  3416
     1992  3595  3557  3639  3757  3730  3830  3891  3892  3880  3941  3919  3988  3801
     1993  3961  3959  3901  3955  3979  4012  4026  4027  4063  4073  4089  4073  4010
     1994  4080  4030  4009  3999  4027  4036  4068  4090  4123  4129  4137  4118  4071
     1995  4146  4143  4130  4149  4157  4143  4146  4159  4184  4190  4176  4159  4160
     1996  4198  4216  4224  4218  4200  4199  4203  4196  4212  4192  4180  4199  4203
     1997  4221  4241  4227  4223  4268  4281  4268  4290  4278  4260  4255  4265  4256
     1998  4270  4290  4291  4160  4087  4116  4142  4107  4141  4212  4175  4133  4177
     1999  4056  4040  4057  4083  4050  4106  4133  4031  3953  3899  3870  3840  4010

     2000  3855  3822  3748  3752  3656  3583  3484  3561  3617  3725  3615  3651  3673
     2001  3713  3812  3869  3622  3734  3779  3791  3713  3713  3675  3761  3787  3747
     2002  3670  3790  3745  3733  3739  3771  3702  3610  3683  3735  3659  3688  3652
     2003  3455  3727  3736  3685  3664  3580  3459  3706  3756  3685  3552  3725  3664
     2004  3707  3836  3893  3945  3988  3963  3914  3935  3982  4091  3976  4020  3937
     2005  3813  3963  3993  4020  3919  4010  3972  3949  3842  4044  4094  4096  3976
     2006  4112  4177  3578  4221  4220  4236  4190  4232  4235  4269  4263

Multiply table entries by 100 to obtain hourly counting rate.  Climax, Colorado:  N39, W106,
Alt=3400 m, Cutoff Rigidity=2.99GV (1980).
NOTE:  Data may differ from previously reported values due to subsequent  cleanup of  data
and slight  changes in the averaging algorithm.


